Periodo,Anio,Mes,Demanda_SIN_GWh,PIB_Miles_Millones_COP,Poblacion,Temperatura_Media_C
2014-01,2014,1,5166.89,64493.97,46358506,22.4
2014-02,2014,2,4902.08,64493.97,46392994,22.65
2014-03,2014,3,5316.73,64564.55,46427481,22.62
2014-04,2014,4,5168.99,64642.69,46461968,22.5
2014-05,2014,5,5410.87,64718.31,46496455,22.42
2014-06,2014,6,5218.07,64927.71,46530942,22.31
2014-07,2014,7,5513.59,65130.35,46565429,22.32
2014-08,2014,8,5418.88,65339.74,46599138,22.51
2014-09,2014,9,5345.77,65554.69,46632848,22.47
2014-10,2014,10,5461.28,65762.7,46666557,22.23
2014-11,2014,11,5250.7,65977.64,46700266,22.1
2014-12,2014,12,5397.39,66106.1,46733975,22.2
2015-01,2015,1,5309.66,66238.83,46767684,22.42
2015-02,2015,2,5048.31,66371.57,46801394,22.68
2015-03,2015,3,5533.33,66558.67,46835103,22.64
2015-04,2015,4,5278.07,66765.81,46868812,22.53
2015-05,2015,5,5622.9,66966.27,46902522,22.45
2015-06,2015,6,5413.93,67170.34,46936231,22.84
2015-07,2015,7,5669.23,67367.83,46969940,22.94
2015-08,2015,8,5691.35,67571.9,47008904,23.24
2015-09,2015,9,5701.08,67487.33,47047869,23.29
2015-10,2015,10,5762.73,67405.5,47086833,23.16
2015-11,2015,11,5441.19,67320.93,47125797,23.12
2015-12,2015,12,5534.76,67613.97,47164762,23.32
2016-01,2016,1,5583.73,67916.79,47203726,23.4
2016-02,2016,2,5464.92,68219.6,47242690,23.5
2016-03,2016,3,5567.05,68224.19,47281655,23.32
2016-04,2016,4,5396.94,68229.11,47320619,23.05
2016-05,2016,5,5550.0,68233.87,47359583,22.82
2016-06,2016,6,5400.64,68328.19,47398548,22.36
2016-07,2016,7,5488.29,68419.47,47437512,22.37
2016-08,2016,8,5762.19,68513.8,47495309,22.56
2016-09,2016,9,5541.87,68631.26,47553106,22.52
2016-10,2016,10,5587.35,68744.94,47610904,22.28
2016-11,2016,11,5428.49,68862.4,47668701,22.15
2016-12,2016,12,5547.98,68860.7,47726498,22.25
2017-01,2017,1,5428.13,68858.94,47784295,22.48
2017-02,2017,2,5188.57,68857.17,47842092,22.73
2017-03,2017,3,5607.76,68986.01,47899889,22.69
2017-04,2017,4,5451.23,69128.64,47957686,22.58
2017-05,2017,5,5681.91,69266.68,48015484,22.5
2017-06,2017,6,5492.87,69391.22,48073281,22.39
2017-07,2017,7,5665.04,69511.74,48131078,22.39
2017-08,2017,8,5769.32,69636.28,48205527,22.59
2017-09,2017,9,5623.58,69688.71,48279976,22.54
2017-10,2017,10,5740.35,69739.44,48354425,22.31
2017-11,2017,11,5572.75,69791.87,48428874,22.18
2017-12,2017,12,5671.57,69951.32,48503323,22.27
2018-01,2018,1,5618.58,70116.08,48577772,22.5
2018-02,2018,2,5239.2,70280.83,48652220,22.75
2018-03,2018,3,5790.25,70495.4,48726669,22.72
2018-04,2018,4,5607.3,70732.94,48801118,22.6
2018-05,2018,5,5799.12,70962.83,48875567,22.52
2018-06,2018,6,5696.94,71201.76,48950016,22.41
2018-07,2018,7,5918.25,71432.97,49024465,22.42
2018-08,2018,8,6018.78,71671.9,49098092,22.61
2018-09,2018,9,5813.2,71699.49,49171718,22.57
2018-10,2018,10,5933.7,71726.18,49245345,22.33
2018-11,2018,11,5819.25,71753.77,49318972,22.2
2018-12,2018,12,5872.14,72026.64,49392598,22.3
2019-01,2019,1,5832.43,72308.61,49466225,22.52
2019-02,2019,2,5509.17,72590.58,49539852,22.78
2019-03,2019,3,6022.17,72803.75,49613478,22.74
2019-04,2019,4,5835.15,73039.77,49687105,22.63
2019-05,2019,5,6104.41,73268.18,49760732,22.55
2019-06,2019,6,5882.77,73491.27,49834358,22.44
2019-07,2019,7,6146.82,73707.16,49907985,22.44
2019-08,2019,8,6256.8,73930.24,49968153,22.64
2019-09,2019,9,6050.14,73937.69,50028320,22.59
2019-10,2019,10,6092.44,73944.89,50088488,22.36
2019-11,2019,11,5979.34,73952.34,50148656,22.22
2019-12,2019,12,6213.36,73598.15,50208823,22.32
2020-01,2020,1,6119.29,73232.15,50268991,22.55
2020-02,2020,2,5988.0,72866.16,50329159,22.8
2020-03,2020,3,5992.96,69045.83,50389326,22.77
2020-04,2020,4,5200.81,64962.02,50449494,22.65
2020-05,2020,5,5642.17,61009.96,50509662,22.57
2020-06,2020,6,5568.36,63125.65,50569829,22.46
2020-07,2020,7,5926.57,65173.1,50629997,22.47
2020-08,2020,8,5990.05,67288.79,50676512,22.26
2020-09,2020,9,5880.81,68697.15,50723026,22.22
2020-10,2020,10,6124.72,70060.07,50769541,21.98
2020-11,2020,11,5873.77,71468.43,50816056,21.85
2020-12,2020,12,6114.64,72275.92,50862570,21.95
2021-01,2021,1,5936.88,73110.33,50909085,22.58
2021-02,2021,2,5667.98,73944.74,50955600,22.83
2021-03,2021,3,6233.3,73437.64,51002114,22.79
2021-04,2021,4,6004.43,72876.22,51048629,22.68
2021-05,2021,5,6015.21,72332.91,51095144,22.6
2021-06,2021,6,6017.83,73677.18,51141658,22.49
2021-07,2021,7,6377.15,74978.08,51188173,22.49
2021-08,2021,8,6346.91,76322.34,51233987,22.29
2021-09,2021,9,6307.74,77386.68,51279802,22.24
2021-10,2021,10,6490.08,78416.68,51325616,22.01
2021-11,2021,11,6289.74,79481.01,51371430,21.88
2021-12,2021,12,6429.36,79610.68,51417244,21.97
2022-01,2022,1,6277.91,79744.68,51463058,22.3
2022-02,2022,2,5878.35,79878.67,51508873,22.55
2022-03,2022,3,6535.31,80278.0,51554687,22.52
2022-04,2022,4,6272.36,80720.11,51600501,22.4
2022-05,2022,5,6577.63,81147.97,51646316,22.32
2022-06,2022,6,6207.7,81429.96,51692130,22.21
2022-07,2022,7,6564.76,81702.87,51737944,22.22
2022-08,2022,8,6624.49,81984.86,51786545,22.41
2022-09,2022,9,6409.84,81722.7,51835145,22.37
2022-10,2022,10,6558.24,81469.0,51883746,22.13
2022-11,2022,11,6301.83,81206.83,51932347,22.0
2022-12,2022,12,6448.71,81439.75,51980947,22.1
2023-01,2023,1,6393.42,81680.43,52029548,22.62
2023-02,2023,2,5999.7,81921.1,52078149,22.88
2023-03,2023,3,6650.98,81791.37,52126749,22.84
2023-04,2023,4,6365.89,81647.74,52175350,22.73
2023-05,2023,5,6845.51,81508.74,52223951,22.65
2023-06,2023,6,6581.46,81481.47,52272551,22.94
2023-07,2023,7,6801.31,81455.08,52321152,23.04
2023-08,2023,8,7012.4,81427.81,52368253,23.34
2023-09,2023,9,6886.34,81509.53,52415354,23.39
2023-10,2023,10,6889.47,81588.62,52462455,23.26
2023-11,2023,11,6698.66,81670.34,52509556,23.22
2023-12,2023,12,6856.93,81960.3,52556657,23.42
2024-01,2024,1,6896.44,82259.92,52603758,23.5
2024-02,2024,2,6554.75,82559.54,52650858,23.6
2024-03,2024,3,7047.4,82661.73,52697959,23.42
2024-04,2024,4,6811.57,82770.97,52745060,23.15
2024-05,2024,5,6927.42,82876.68,52792161,22.92
2024-06,2024,6,6542.68,82963.67,52839262,22.66
2024-07,2024,7,6944.33,83047.85,52886363,22.67
2024-08,2024,8,6972.98,83134.84,52886363,22.86
2024-09,2024,9,6868.07,83308.7,52886363,22.82
2024-10,2024,10,7024.05,83476.95,52886363,22.58
2024-11,2024,11,6606.36,83650.81,52886363,22.45
2024-12,2024,12,6915.44,83650.81,52886363,22.55
